#Portfolio,ProductClass,RiskClass,MarginType,Bucket,SimmSide,Regulation,InitialMargin,Currency,CalculationCurrency
CRIF_20191230,RatesFX,InterestRate,Delta,All,Call,ESA,812069.42,USD,USD
CRIF_20191230,RatesFX,InterestRate,Delta,USD,Call,ESA,812069.42,USD,USD
CRIF_20191230,RatesFX,InterestRate,Vega,All,Call,ESA,164145.02,USD,USD
CRIF_20191230,RatesFX,InterestRate,Vega,USD,Call,ESA,164145.02,USD,USD
CRIF_20191230,RatesFX,InterestRate,Curvature,All,Call,ESA,72875.51,USD,USD
CRIF_20191230,RatesFX,InterestRate,Curvature,USD,Call,ESA,2114.17,USD,USD
CRIF_20191230,RatesFX,InterestRate,All,All,Call,ESA,1049089.95,USD,USD
CRIF_20191230,RatesFX,All,Delta,All,Call,ESA,812069.42,USD,USD
CRIF_20191230,RatesFX,All,Vega,All,Call,ESA,164145.02,USD,USD
CRIF_20191230,RatesFX,All,Curvature,All,Call,ESA,72875.51,USD,USD
CRIF_20191230,RatesFX,All,All,All,Call,ESA,1049089.95,USD,USD
CRIF_20191230,All,InterestRate,Delta,All,Call,ESA,812069.42,USD,USD
CRIF_20191230,All,InterestRate,Vega,All,Call,ESA,164145.02,USD,USD
CRIF_20191230,All,InterestRate,Curvature,All,Call,ESA,72875.51,USD,USD
CRIF_20191230,All,InterestRate,All,All,Call,ESA,1049089.95,USD,USD
CRIF_20191230,All,All,Delta,All,Call,ESA,812069.42,USD,USD
CRIF_20191230,All,All,Vega,All,Call,ESA,164145.02,USD,USD
CRIF_20191230,All,All,Curvature,All,Call,ESA,72875.51,USD,USD
CRIF_20191230,All,All,All,All,Call,ESA,1049089.95,USD,USD
All,All,All,All,All,Call,ESA,1049089.95,USD,USD
CRIF_20191230,RatesFX,InterestRate,Delta,All,Post,CFTC,812069.42,USD,USD
CRIF_20191230,RatesFX,InterestRate,Delta,USD,Post,CFTC,812069.42,USD,USD
CRIF_20191230,RatesFX,InterestRate,Vega,All,Post,CFTC,164145.02,USD,USD
CRIF_20191230,RatesFX,InterestRate,Vega,USD,Post,CFTC,164145.02,USD,USD
CRIF_20191230,RatesFX,InterestRate,Curvature,USD,Post,CFTC,2114.17,USD,USD
CRIF_20191230,RatesFX,InterestRate,All,All,Post,CFTC,976214.44,USD,USD
CRIF_20191230,RatesFX,All,Delta,All,Post,CFTC,812069.42,USD,USD
CRIF_20191230,RatesFX,All,Vega,All,Post,CFTC,164145.02,USD,USD
CRIF_20191230,RatesFX,All,All,All,Post,CFTC,976214.44,USD,USD
CRIF_20191230,All,InterestRate,Delta,All,Post,CFTC,812069.42,USD,USD
CRIF_20191230,All,InterestRate,Vega,All,Post,CFTC,164145.02,USD,USD
CRIF_20191230,All,InterestRate,All,All,Post,CFTC,976214.44,USD,USD
CRIF_20191230,All,All,Delta,All,Post,CFTC,812069.42,USD,USD
CRIF_20191230,All,All,Vega,All,Post,CFTC,164145.02,USD,USD
CRIF_20191230,All,All,All,All,Post,CFTC,976214.44,USD,USD
All,All,All,All,All,Post,CFTC,976214.44,USD,USD
