#Sample,Regressor_0_NPV,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,3551.427246,0.000000,0.000000,19332.408372,20376.572816,-460.726426,21888.428709
1,21158.554688,0.000000,0.000000,19332.408372,20376.572816,-6583.242518,21888.428709
2,21723.404297,0.000000,0.000000,19332.408372,20376.572816,-7069.439145,21888.428709
3,23543.058594,0.000000,0.000000,19332.408372,20376.572816,652.804749,21888.428709
4,35042.503906,8524.498582,0.000000,19332.408372,20376.572816,628.038376,21888.428709
5,38025.097656,9940.143760,0.000000,19332.408372,20376.572816,6327.111638,21888.428709
6,43183.843750,11955.376989,0.000000,19332.408372,20376.572816,-9479.227275,21888.428709
7,45090.988281,12605.351838,0.000000,19332.408372,20376.572816,4313.443653,21888.428709
8,51457.722656,14519.820184,0.000000,19332.408372,20376.572816,-5315.254391,21888.428709
9,57880.386719,16158.173626,0.000000,19332.408372,20376.572816,-7910.061360,21888.428709
10,66543.101563,18041.534880,0.000000,19332.408372,20376.572816,3476.220989,21888.428709
11,67303.281250,18192.412593,0.000000,19332.408372,20376.572816,4023.774572,21888.428709
12,78453.210938,20191.928098,0.000000,19332.408372,20376.572816,-226.889413,21888.428709
13,78595.867188,20215.198541,0.000000,19332.408372,20376.572816,-3234.484573,21888.428709
14,79149.539063,20305.016659,0.000000,19332.408372,20376.572816,7661.805362,21888.428709
15,81645.453125,20700.318101,0.000000,19332.408372,20376.572816,15164.295702,21888.428709
16,86879.562500,21481.360553,0.000000,19332.408372,20376.572816,1010.358999,21888.428709
17,89278.632813,21819.162393,0.000000,19332.408372,20376.572816,-8376.138236,21888.428709
18,89739.000000,21882.610088,0.000000,19332.408372,20376.572816,-3442.909460,21888.428709
19,98563.257813,23019.062839,0.000000,19332.408372,20376.572816,4988.173650,21888.428709
20,103161.015625,23555.646923,0.000000,19332.408372,20376.572816,-907.984173,21888.428709
21,118821.718750,25135.331892,0.000000,19332.408372,20376.572816,949.680783,21888.428709
22,118912.234375,25143.440208,0.000000,19332.408372,20376.572816,-7238.441308,21888.428709
23,122266.585938,25436.222402,0.000000,19332.408372,20376.572816,11942.553018,21888.428709
24,123345.679688,25527.272386,0.000000,19332.408372,20376.572816,7268.954707,21888.428709
25,124203.593750,25598.589247,0.000000,19332.408372,20376.572816,21584.646747,21888.428709
26,128458.210938,25938.526616,0.000000,19332.408372,20376.572816,260.449135,21888.428709
27,129938.179688,26051.520466,0.000000,19332.408372,20376.572816,-10217.768282,21888.428709
28,138434.093750,26649.813443,0.000000,19332.408372,20376.572816,-4837.351693,21888.428709
29,153130.687500,27494.324281,0.000000,19332.408372,20376.572816,-113.069553,21888.428709
30,156549.625000,27658.142247,0.000000,19332.408372,20376.572816,5304.358229,21888.428709
31,161065.609375,27856.414460,0.000000,19332.408372,20376.572816,-21318.397072,21888.428709
32,171283.000000,28230.986399,0.000000,19332.408372,20376.572816,23636.865370,21888.428709
33,176721.656250,28389.586011,0.000000,19332.408372,20376.572816,12817.928408,21888.428709
34,192101.765625,28689.365101,0.000000,19332.408372,20376.572816,-9075.443717,21888.428709
35,192486.187500,28694.086046,0.000000,19332.408372,20376.572816,2032.157562,21888.428709
36,199207.796875,28755.028025,0.000000,19332.408372,20376.572816,10514.313963,21888.428709
37,211237.343750,28762.507051,0.000000,19332.408372,20376.572816,6258.497077,21888.428709
38,231678.812500,28475.268863,0.000000,19332.408372,20376.572816,-29951.655854,21888.428709
39,249954.921875,27889.698981,0.000000,19332.408372,20376.572816,-139.997852,21888.428709
40,271073.062500,26798.775670,0.000000,19332.408372,20376.572816,5191.143988,21888.428709
41,271410.687500,26777.474562,0.000000,19332.408372,20376.572816,-6375.401670,21888.428709
42,280119.843750,26183.129474,0.000000,19332.408372,20376.572816,1370.923095,21888.428709
43,300237.093750,24450.874776,0.000000,19332.408372,20376.572816,6440.710908,21888.428709
44,303723.000000,24093.944438,0.000000,19332.408372,20376.572816,1460.974090,21888.428709
45,315241.968750,22776.966637,0.000000,19332.408372,20376.572816,17322.694117,21888.428709
46,326180.843750,21302.942663,0.000000,19332.408372,20376.572816,1014.259256,21888.428709
47,328208.312500,21002.201628,0.000000,19332.408372,20376.572816,4872.703435,21888.428709
48,355101.187500,15881.173677,0.000000,19332.408372,20376.572816,8122.334839,21888.428709
49,357572.218750,15263.661073,0.000000,19332.408372,20376.572816,10051.417190,21888.428709
