#TradeId,Type,CashflowNo,LegNo,PayDate,FlowType,Amount,Currency,Coupon,Accrual,AccrualStartDate,AccrualEndDate,AccruedAmount,fixingDate,fixingValue,Notional,DiscountFactor,PresentValue,FXRate(Local-Base),PresentValue(Base),BaseCurrency,FloorStrike,CapStrike,FloorVolatility,CapVolatility,EffectiveFloorVolatility,EffectiveCapVolatility
BermSwp,Swaption,1,0,2026-09-01,InterestProjected,9977.2084,EUR,0.0196272953,0.5083333333,2026-03-02,2026-09-01,0.0000,2026-02-26,0.0196272953,1000000.0000,0.8086778035,8068.3469965864,1.0000000000,8068.3469965864,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BermSwp,Swaption,2,0,2027-03-01,InterestProjected,9867.6317,EUR,0.0196262288,0.5027777778,2026-09-01,2027-03-01,0.0000,2026-08-28,0.0196262288,1000000.0000,0.8006673857,7900.6908625427,1.0000000000,7900.6908625427,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BermSwp,Swaption,3,0,2027-09-01,InterestProjected,10032.0013,EUR,0.0196278285,0.5111111111,2027-03-01,2027-09-01,0.0000,2027-02-25,0.0196278285,1000000.0000,0.7926055255,7951.4196286547,1.0000000000,7951.4196286547,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BermSwp,Swaption,4,0,2028-03-01,InterestProjected,9921.3473,EUR,0.0196246431,0.5055555556,2027-09-01,2028-03-01,0.0000,2027-08-30,0.0196246431,1000000.0000,0.7847111687,7785.3920661364,1.0000000000,7785.3920661364,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BermSwp,Swaption,5,0,2028-09-01,InterestProjected,10022.6143,EUR,0.0196094627,0.5111111111,2028-03-01,2028-09-01,0.0000,2028-02-28,0.0196094627,1000000.0000,0.7768101172,7785.6681636095,1.0000000000,7785.6681636095,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BermSwp,Swaption,6,0,2029-03-01,InterestProjected,9858.3992,EUR,0.0196078659,0.5027777778,2028-09-01,2029-03-01,0.0000,2028-08-30,0.0196078659,1000000.0000,0.7691155100,7582.2477613845,1.0000000000,7582.2477613845,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BermSwp,Swaption,7,0,2029-09-03,InterestProjected,10132.1058,EUR,0.0196105273,0.5166666667,2029-03-01,2029-09-03,0.0000,2029-02-27,0.0196105273,1000000.0000,0.7612877427,7713.4479423147,1.0000000000,7713.4479423147,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BermSwp,Swaption,8,0,2030-03-01,InterestProjected,9748.9374,EUR,0.0196068015,0.4972222222,2029-09-03,2030-03-01,0.0000,2029-08-30,0.0196068015,1000000.0000,0.7538298056,7349.0395789759,1.0000000000,7349.0395789759,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BermSwp,Swaption,9,0,2030-09-02,InterestProjected,10077.3585,EUR,0.0196099950,0.5138888889,2030-03-01,2030-09-02,0.0000,2030-02-27,0.0196099950,1000000.0000,0.7461986493,7519.7113326770,1.0000000000,7519.7113326770,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BermSwp,Swaption,10,0,2031-03-03,InterestProjected,9913.5624,EUR,0.0196092444,0.5055555556,2030-09-02,2031-03-03,0.0000,2030-08-29,0.0196092444,1000000.0000,0.7387666215,7323.8090215797,1.0000000000,7323.8090215797,EUR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
