#Sample,Regressor_0_USD,Regressor_1_USD-LIBOR-3M,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
0,0.606076,0.017584,347861.709320,508256.863242,566107.509204,583109.674073,77790.318226,518789.125260
1,0.618571,0.024091,324611.693069,512027.775455,566107.509204,583109.674073,-137457.493255,518789.125260
2,0.650522,-0.019395,558131.147729,522064.226879,566107.509204,583109.674073,-75275.779502,518789.125260
3,0.656892,0.039014,279337.523449,524132.786699,566107.509204,583109.674073,80334.394194,518789.125260
4,0.675998,0.025413,387977.128530,530470.993614,566107.509204,583109.674073,68099.527523,518789.125260
5,0.681394,0.020033,421069.252876,532297.122254,566107.509204,583109.674073,-204947.648988,518789.125260
6,0.682944,0.009225,472124.795593,532824.835537,566107.509204,583109.674073,405506.714305,518789.125260
7,0.713866,0.025105,430261.198237,543615.298239,566107.509204,583109.674073,-66592.446529,518789.125260
8,0.717594,-0.001655,545844.321143,544949.713222,566107.509204,583109.674073,-153091.975202,518789.125260
9,0.723280,0.005320,523833.209570,546999.104163,566107.509204,583109.674073,280355.892283,518789.125260
10,0.726199,0.014530,489155.868014,548057.146037,566107.509204,583109.674073,72041.112329,518789.125260
11,0.742207,0.010742,518527.010016,553935.874935,566107.509204,583109.674073,81735.435419,518789.125260
12,0.754624,0.020286,490652.037924,558580.360974,566107.509204,583109.674073,122763.830446,518789.125260
13,0.758117,0.036511,421187.512202,559899.496225,566107.509204,583109.674073,162073.225966,518789.125260
14,0.762086,0.020689,495636.936130,561405.344131,566107.509204,583109.674073,14028.075453,518789.125260
15,0.763914,0.034030,438929.896661,562101.020309,566107.509204,583109.674073,252865.875183,518789.125260
16,0.772737,0.023788,492288.629250,565480.132655,566107.509204,583109.674073,-196928.757736,518789.125260
17,0.781288,-0.004065,603233.568886,568786.376611,566107.509204,583109.674073,47556.346002,518789.125260
18,0.813069,0.024299,525137.290971,581321.541683,566107.509204,583109.674073,7714.092380,518789.125260
19,0.828966,0.033780,500954.979251,587720.964416,566107.509204,583109.674073,-502439.190299,518789.125260
20,0.835546,0.013395,583261.210240,590391.114230,566107.509204,583109.674073,-29393.699580,518789.125260
21,0.837365,0.028498,529124.348631,591131.380993,566107.509204,583109.674073,2901.471094,518789.125260
22,0.841827,0.015436,580831.832327,592950.244240,566107.509204,583109.674073,-425426.558470,518789.125260
23,0.849585,0.007686,613124.145511,596125.002973,566107.509204,583109.674073,87194.121161,518789.125260
24,0.855074,-0.007759,666315.833064,598379.171225,566107.509204,583109.674073,-191984.697299,518789.125260
25,0.869025,0.006037,632288.282304,604133.936110,566107.509204,583109.674073,102171.779338,518789.125260
26,0.879081,0.047019,490801.173912,608301.262531,566107.509204,583109.674073,-101590.663846,518789.125260
27,0.885195,0.016254,610085.312277,610841.366148,566107.509204,583109.674073,-2512.080527,518789.125260
28,0.940412,0.012991,658918.764265,633844.480729,566107.509204,583109.674073,-348391.114007,518789.125260
29,0.944836,0.043343,560203.995965,635681.743097,566107.509204,583109.674073,-221921.855040,518789.125260
30,0.946486,-0.009874,730148.260666,636366.144669,566107.509204,583109.674073,422601.409420,518789.125260
31,0.951592,-0.004373,717699.891808,638482.511933,566107.509204,583109.674073,-134099.798324,518789.125260
32,1.002170,0.042604,606080.809703,659159.057869,566107.509204,583109.674073,206502.383509,518789.125260
33,1.004628,-0.006637,755684.782270,660146.020011,566107.509204,583109.674073,392831.857246,518789.125260
34,1.014464,0.017977,692072.268141,664074.693407,566107.509204,583109.674073,-697694.021412,518789.125260
35,1.023179,0.020494,690170.699244,667525.637310,566107.509204,583109.674073,-57292.850960,518789.125260
36,1.035586,0.011769,723167.144512,672386.657489,566107.509204,583109.674073,-40352.871356,518789.125260
37,1.039788,0.008405,735147.597988,674018.081836,566107.509204,583109.674073,319116.714422,518789.125260
38,1.091355,0.013846,750715.266147,693344.136055,566107.509204,583109.674073,560841.261484,518789.125260
39,1.099121,0.041714,675526.484912,696132.618173,566107.509204,583109.674073,99792.280162,518789.125260
40,1.106869,0.021964,737564.137746,698880.122443,566107.509204,583109.674073,190842.140377,518789.125260
41,1.148059,0.051451,677912.566880,712887.474764,566107.509204,583109.674073,235290.468886,518789.125260
42,1.149952,0.012478,787884.916774,713506.360872,566107.509204,583109.674073,420974.541130,518789.125260
43,1.152244,0.003957,810963.665303,714252.654860,566107.509204,583109.674073,351463.996706,518789.125260
44,1.158945,0.020744,771261.168009,716416.025658,566107.509204,583109.674073,409667.589362,518789.125260
45,1.242685,-0.001560,871706.425151,741116.252276,566107.509204,583109.674073,-569023.341942,518789.125260
46,1.249613,0.036020,782397.007924,742971.116151,566107.509204,583109.674073,83804.034767,518789.125260
47,1.252392,0.016406,833593.856312,743707.542087,566107.509204,583109.674073,-388080.427405,518789.125260
48,1.326555,-0.006367,923791.232891,761795.796558,566107.509204,583109.674073,154669.012777,518789.125260
49,1.676535,-0.005631,1076344.248289,768262.010647,566107.509204,583109.674073,-352360.917414,518789.125260
