#TimeStep,Date,DaysInPeriod,ZeroOrderDIM,AverageDIM,AverageFLOW,SimpleDIM,NettingSet,Time
0,2016-02-19,14,80831.233699,80933.205547,0.000000,69595.513065,CPTY_A,0.038251
1,2016-03-04,14,81583.871038,80480.435348,0.000000,95419.786544,CPTY_A,0.076503
2,2016-03-18,14,77318.262840,75014.962766,0.000000,86863.688274,CPTY_A,0.114754
3,2016-04-01,14,90682.032377,90159.825946,0.000000,104777.199870,CPTY_A,0.153005
4,2016-04-15,14,70076.018840,69448.052744,0.000000,70102.929608,CPTY_A,0.191257
5,2016-04-29,14,77209.673288,74562.553778,0.000000,94336.821108,CPTY_A,0.229508
6,2016-05-13,14,72520.515890,72229.024106,0.000000,64234.134637,CPTY_A,0.267760
7,2016-05-27,14,82968.214754,82311.352922,0.000000,82633.942026,CPTY_A,0.306011
8,2016-06-10,14,93370.977881,89654.179187,0.000000,141179.428455,CPTY_A,0.344262
9,2016-06-24,14,77513.865382,76824.283792,0.000000,80769.991535,CPTY_A,0.382514
10,2016-07-08,14,90567.176947,86445.114687,0.000000,115801.410964,CPTY_A,0.420765
11,2016-07-22,14,69397.716448,68030.951867,0.000000,60948.273150,CPTY_A,0.459016
12,2016-08-05,14,77592.380377,72983.992915,0.000000,70535.029282,CPTY_A,0.497268
13,2016-08-19,14,83288.135546,80740.950054,0.000000,108551.720518,CPTY_A,0.535519
14,2016-09-02,14,76552.545320,73314.329627,0.000000,88175.324679,CPTY_A,0.573770
15,2016-09-16,14,72121.813155,70752.398659,0.000000,77372.124079,CPTY_A,0.612022
16,2016-09-30,14,76719.976431,74857.811156,0.000000,70523.824848,CPTY_A,0.650273
17,2016-10-14,14,84925.413416,82244.475857,0.000000,89622.158330,CPTY_A,0.688525
18,2016-10-28,17,79021.763721,75731.865705,0.000000,54692.840495,CPTY_A,0.726776
19,2016-11-14,11,73071.744005,70683.994516,0.000000,103130.106636,CPTY_A,0.773224
20,2016-11-25,14,89009.729694,81190.300383,0.000000,124482.501436,CPTY_A,0.803279
21,2016-12-09,14,76555.107790,71033.026857,0.000000,81884.703336,CPTY_A,0.841530
22,2016-12-23,14,91904.500258,82910.780359,0.000000,125301.072620,CPTY_A,0.879781
23,2017-01-06,14,91551.766227,73541.105204,0.000000,140372.198840,CPTY_A,0.918070
24,2017-01-20,14,74596.517375,72341.017184,0.000000,70055.012676,CPTY_A,0.956426
25,2017-02-03,14,92603.257505,89664.778931,0.000000,105791.894005,CPTY_A,0.994783
26,2017-02-17,14,74784.743149,70122.906935,0.000000,72155.797621,CPTY_A,1.033139
27,2017-03-03,14,87966.757387,78884.071476,0.000000,89492.557662,CPTY_A,1.071495
28,2017-03-17,14,85751.392181,76385.619044,0.000000,116825.097085,CPTY_A,1.109851
29,2017-03-31,18,88818.213440,83967.832466,0.000000,81526.418758,CPTY_A,1.148207
30,2017-04-18,10,78166.129642,75272.657182,0.000000,92411.701947,CPTY_A,1.197522
31,2017-04-28,14,77787.400546,73622.850859,0.000000,92441.235682,CPTY_A,1.224920
32,2017-05-12,14,77800.185752,75204.390223,0.000000,76853.117554,CPTY_A,1.263276
33,2017-05-26,14,79378.750781,74394.097254,0.000000,69204.160005,CPTY_A,1.301632
34,2017-06-09,14,84169.133967,78434.356629,0.000000,86910.103366,CPTY_A,1.339988
35,2017-06-23,14,86712.272974,78205.152385,0.000000,107784.900380,CPTY_A,1.378344
36,2017-07-07,14,78372.017511,72910.293930,0.000000,78028.332147,CPTY_A,1.416700
37,2017-07-21,14,83587.504073,75419.100861,0.000000,91488.750032,CPTY_A,1.455057
38,2017-08-04,14,109819.302568,93243.344988,0.000000,134587.426960,CPTY_A,1.493413
39,2017-08-18,14,87919.852550,79747.291304,0.000000,102215.409620,CPTY_A,1.531769
40,2017-09-01,14,100732.499869,74132.362785,0.000000,96784.287241,CPTY_A,1.570125
41,2017-09-15,14,90988.967877,84029.971130,0.000000,84678.325105,CPTY_A,1.608481
42,2017-09-29,14,70951.893377,66681.473118,0.000000,69539.075728,CPTY_A,1.646837
43,2017-10-13,14,86189.485645,71121.951576,0.000000,130542.468550,CPTY_A,1.685194
44,2017-10-27,17,86870.297246,76413.117343,0.000000,69665.464312,CPTY_A,1.723550
45,2017-11-13,11,87491.606133,71673.065562,0.000000,84775.575835,CPTY_A,1.770125
46,2017-11-24,14,88939.478753,77316.771938,0.000000,102135.880017,CPTY_A,1.800262
47,2017-12-08,14,87688.355526,75978.000440,0.000000,124804.395887,CPTY_A,1.838618
48,2017-12-22,14,96217.939899,86637.700115,0.000000,140377.606459,CPTY_A,1.876974
