#Scenario,TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
eonia_up,FX_CALL_OPTION,2032-08-05,16.497268,0,0,0,0,0,0,179209,0.00,0.00
eonia_up,FX_CALL_OPTION,2032-11-05,16.748634,0,0,0,0,0,0,179209,0.00,0.00
eonia_up,FX_CALL_OPTION,2033-02-07,17.005741,0,0,0,0,0,0,179209,0.00,0.00
eonia_up,FX_CALL_OPTION,2033-05-05,17.244098,0,0,0,0,0,0,179209,0.00,0.00
eonia_up,FX_CALL_OPTION,2033-08-05,17.496152,0,0,0,0,0,0,179209,0.00,0.00
eonia_up,FX_CALL_OPTION,2033-11-07,17.753687,0,0,0,0,0,0,179209,0.00,0.00
eonia_up,FX_CALL_OPTION,2034-02-06,18.003002,0,0,0,0,0,0,179209,0.00,0.00
eonia_up,FX_CALL_OPTION,2034-05-05,18.244098,0,0,0,0,0,0,179209,0.00,0.00
eonia_up,FX_CALL_OPTION,2034-08-07,18.501632,0,0,0,0,0,0,179209,0.00,0.00
eonia_up,FX_CALL_OPTION,2034-11-06,18.750947,0,0,0,0,0,0,179209,0.00,0.00
eonia_up,FX_CALL_OPTION,2035-02-05,19.000262,0,0,0,0,0,0,179209,0.00,0.00
eonia_up,FX_CALL_OPTION,2035-05-07,19.249577,0,0,0,0,0,0,179209,0.00,0.00
eonia_up,FX_CALL_OPTION,2035-08-06,19.498892,0,0,0,0,0,0,179209,0.00,0.00
eonia_up,FX_CALL_OPTION,2035-11-05,19.748207,0,0,0,0,0,0,179209,0.00,0.00
eonia_up,FX_CALL_OPTION,2036-02-05,20.000000,0,0,0,0,0,0,179209,0.00,0.00
eonia_up,FX_CALL_OPTION,2036-05-05,20.245902,0,0,0,0,0,0,179209,0.00,0.00
eonia_up,FX_CALL_OPTION,2036-08-05,20.497268,0,0,0,0,0,0,179209,0.00,0.00
eonia_up,FX_CALL_OPTION,2036-11-05,20.748634,0,0,0,0,0,0,179209,0.00,0.00
eonia_up,FX_CALL_OPTION,2037-02-05,21.000262,0,0,0,0,0,0,179209,0.00,0.00
eonia_up,FX_CALL_OPTION,2037-05-05,21.244098,0,0,0,0,0,0,179209,0.00,0.00
eonia_up,FX_CALL_OPTION,2037-08-05,21.496152,0,0,0,0,0,0,179209,0.00,0.00
eonia_up,FX_CALL_OPTION,2037-11-05,21.748207,0,0,0,0,0,0,179209,0.00,0.00
eonia_up,FX_CALL_OPTION,2038-02-05,22.000262,0,0,0,0,0,0,179209,0.00,0.00
no_shift,FX_CALL_OPTION,2016-02-05,0.000000,216065,0,0,0,216065,216065,216065,216064.75,216064.75
no_shift,FX_CALL_OPTION,2016-05-05,0.245902,216265,0,0,0,268478,217347,217347,217346.88,217346.88
no_shift,FX_CALL_OPTION,2016-08-05,0.497268,217200,0,0,0,283392,219396,219396,218382.74,218382.74
no_shift,FX_CALL_OPTION,2016-11-07,0.754098,217498,0,0,0,301981,220833,220833,219217.31,219217.31
no_shift,FX_CALL_OPTION,2017-02-06,1.003002,219329,0,0,0,323264,223802,223802,220355.08,220355.08
no_shift,FX_CALL_OPTION,2017-05-05,1.244098,220161,0,0,0,318045,225749,225749,221400.31,221400.31
no_shift,FX_CALL_OPTION,2017-08-07,1.501632,219776,0,0,0,340099,226525,226525,222279.21,222279.21
no_shift,FX_CALL_OPTION,2017-11-06,1.750947,219732,0,0,0,332507,227613,227613,223038.70,223038.70
no_shift,FX_CALL_OPTION,2018-02-05,2.000262,221165,0,0,0,363183,230239,230239,223936.14,223936.14
no_shift,FX_CALL_OPTION,2018-05-07,2.249577,224000,0,0,0,342008,234359,234359,225091.32,225091.32
no_shift,FX_CALL_OPTION,2018-08-06,2.498892,224284,0,0,0,368079,235834,235834,226163.08,226163.08
no_shift,FX_CALL_OPTION,2018-11-05,2.748207,224105,0,0,0,383473,236828,236828,227130.58,227130.58
no_shift,FX_CALL_OPTION,2019-02-05,3.000262,223230,0,0,0,404238,237100,237100,227968.11,227968.11
no_shift,FX_CALL_OPTION,2019-05-06,3.246837,222616,0,0,0,397402,237621,237621,228701.20,228701.20
no_shift,FX_CALL_OPTION,2019-08-05,3.496152,223993,0,0,0,378484,240291,240291,229527.71,229527.71
no_shift,FX_CALL_OPTION,2019-11-05,3.748207,223943,0,0,0,436603,241456,241456,230329.83,230329.83
no_shift,FX_CALL_OPTION,2020-02-05,4.000000,225946,0,0,0,450197,244851,244851,231243.91,231243.91
no_shift,FX_CALL_OPTION,2020-05-05,4.245902,226625,0,0,0,446734,246806,246806,232145.19,232145.19
no_shift,FX_CALL_OPTION,2020-08-05,4.497268,225598,0,0,0,488886,246934,246934,232971.78,232971.78
no_shift,FX_CALL_OPTION,2020-11-05,4.748634,225668,0,0,0,497297,248263,248263,233781.24,233781.24
no_shift,FX_CALL_OPTION,2021-02-05,5.000262,226205,0,0,0,521164,250116,250116,234603.26,234603.26
no_shift,FX_CALL_OPTION,2021-05-05,5.244098,226749,0,0,0,511854,251949,251949,235409.77,235409.77
no_shift,FX_CALL_OPTION,2021-08-05,5.496152,226317,0,0,0,527752,252744,252744,236204.74,236204.74
no_shift,FX_CALL_OPTION,2021-11-05,5.748207,227844,0,0,0,517428,255741,255741,237061.37,237061.37
no_shift,FX_CALL_OPTION,2022-02-07,6.005741,228078,0,0,0,496505,257330,257330,237930.51,237930.51
no_shift,FX_CALL_OPTION,2022-05-05,6.244098,227762,0,0,0,478471,258206,258206,238704.49,238704.49
no_shift,FX_CALL_OPTION,2022-08-05,6.496152,230562,0,0,0,489922,262706,262706,239635.76,239635.76
no_shift,FX_CALL_OPTION,2022-11-07,6.753687,227299,0,0,0,488555,260330,262706,240424.90,240515.48
no_shift,FX_CALL_OPTION,2023-02-06,7.003002,226237,0,0,0,496718,260414,262706,241136.55,241305.49
no_shift,FX_CALL_OPTION,2023-05-05,7.244098,224747,0,0,0,511017,259954,262706,241762.83,242017.73
no_shift,FX_CALL_OPTION,2023-08-07,7.501632,224729,0,0,0,503259,261281,262706,242432.89,242727.97
no_shift,FX_CALL_OPTION,2023-11-06,7.750947,226772,0,0,0,510025,264979,264979,243158.09,243443.68
no_shift,FX_CALL_OPTION,2024-02-05,8.000000,224822,0,0,0,499801,264019,264979,243807.52,244114.09
no_shift,FX_CALL_OPTION,2024-05-06,8.248634,224205,0,0,0,472958,264615,264979,244434.71,244743.00
no_shift,FX_CALL_OPTION,2024-08-05,8.497268,225137,0,0,0,476888,267048,267048,245096.38,245395.65
no_shift,FX_CALL_OPTION,2024-11-05,8.748634,224692,0,0,0,494010,267872,267872,245750.77,246041.44
no_shift,FX_CALL_OPTION,2025-02-05,9.000262,226374,0,0,0,479313,271246,271246,246463.57,246746.11
no_shift,FX_CALL_OPTION,2025-05-05,9.244098,224444,0,0,0,490723,270254,271246,247091.09,247392.36
no_shift,FX_CALL_OPTION,2025-08-05,9.496152,228278,0,0,0,497541,276264,276264,247865.42,248158.69
no_shift,FX_CALL_OPTION,2025-11-05,9.748207,228841,0,0,0,488936,278351,278351,248653.68,248939.37
no_shift,FX_CALL_OPTION,2026-02-05,10.000262,225280,0,0,0,508299,275409,278351,249328.04,249680.68
no_shift,FX_CALL_OPTION,2026-05-05,10.244098,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2026-08-05,10.496152,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2026-11-05,10.748207,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2027-02-05,11.000262,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2027-05-05,11.244098,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2027-08-05,11.496152,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2027-11-05,11.748207,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2028-02-07,12.005464,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2028-05-05,12.245902,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2028-08-07,12.502732,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2028-11-06,12.751366,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2029-02-05,13.000262,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2029-05-07,13.249577,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2029-08-06,13.498892,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2029-11-05,13.748207,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2030-02-05,14.000262,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2030-05-06,14.246837,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2030-08-05,14.496152,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2030-11-05,14.748207,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2031-02-05,15.000262,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2031-05-05,15.244098,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2031-08-05,15.496152,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2031-11-05,15.748207,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2032-02-05,16.000000,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2032-05-05,16.245902,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2032-08-05,16.497268,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2032-11-05,16.748634,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2033-02-07,17.005741,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2033-05-05,17.244098,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2033-08-05,17.496152,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2033-11-07,17.753687,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2034-02-06,18.003002,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2034-05-05,18.244098,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2034-08-07,18.501632,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2034-11-06,18.750947,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2035-02-05,19.000262,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2035-05-07,19.249577,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2035-08-06,19.498892,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2035-11-05,19.748207,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2036-02-05,20.000000,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2036-05-05,20.245902,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2036-08-05,20.497268,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2036-11-05,20.748634,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2037-02-05,21.000262,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2037-05-05,21.244098,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2037-08-05,21.496152,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2037-11-05,21.748207,0,0,0,0,0,0,278351,0.00,0.00
no_shift,FX_CALL_OPTION,2038-02-05,22.000262,0,0,0,0,0,0,278351,0.00,0.00
