#Scenario,TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE,TimeWeightedBaselEPE,TimeWeightedBaselEEPE
BASE,Swap_EUR,2016-02-05,0.000000,0,361,0,0,0,0,0,0.00,0.00
BASE,Swap_EUR,2016-05-05,0.245902,129337,141402,0,0,546302,129984,129984,129983.59,129983.59
BASE,Swap_EUR,2016-08-05,0.497268,216209,210851,0,0,884761,218396,218396,174675.37,174675.37
BASE,Swap_EUR,2016-11-07,0.754098,180077,258529,0,0,920641,182839,218396,177455.81,189565.59
BASE,Swap_EUR,2017-02-06,1.003002,205190,290536,0,0,1279892,209374,218396,185376.70,196720.00
BASE,Swap_EUR,2017-05-05,1.244098,294062,288327,0,0,1131410,301525,301525,207885.27,217030.33
BASE,Swap_EUR,2017-08-07,1.501632,357175,332256,0,0,1673497,368144,368144,235370.05,242946.71
BASE,Swap_EUR,2017-11-06,1.750947,361419,437662,0,0,2004348,374383,374383,255163.88,261661.71
BASE,Swap_EUR,2018-02-05,2.000262,419615,488466,0,0,2086489,436831,436831,277807.07,283495.00
BASE,Swap_EUR,2018-05-07,2.249577,464386,442839,0,0,2313928,485863,485863,300865.36,305922.91
BASE,Swap_EUR,2018-08-06,2.498892,500955,479325,0,0,2475368,526753,526753,323402.19,327955.15
BASE,Swap_EUR,2018-11-05,2.748207,439405,512330,0,0,2240712,464351,526753,336188.98,345989.89
BASE,Swap_EUR,2019-02-05,3.000262,425178,521114,0,0,2043215,451596,526753,345884.40,361175.94
BASE,Swap_EUR,2019-05-06,3.246837,460111,470312,0,0,2059887,491125,526753,356914.43,373750.37
BASE,Swap_EUR,2019-08-05,3.496152,459873,479079,0,0,2384478,493334,526753,366642.66,384661.16
BASE,Swap_EUR,2019-11-05,3.748207,390981,501048,0,0,2027668,421557,526753,370335.49,394216.35
BASE,Swap_EUR,2020-02-05,4.000000,421769,527223,0,0,2332347,457060,526753,375794.62,402559.27
BASE,Swap_EUR,2020-05-05,4.245902,493078,499086,0,0,2630397,536986,536986,385130.04,410344.62
BASE,Swap_EUR,2020-08-05,4.497268,544337,545113,0,0,2832968,595818,595818,396906.02,420711.27
BASE,Swap_EUR,2020-11-05,4.748634,497615,577796,0,0,3043236,547439,595818,404874.41,429980.42
BASE,Swap_EUR,2021-02-05,5.000262,519414,601628,0,0,3272154,574320,595818,413401.42,438325.84
BASE,Swap_EUR,2021-05-05,5.244098,578360,545760,0,0,3420581,642635,642635,424060.12,447825.63
BASE,Swap_EUR,2021-08-05,5.496152,534296,522547,0,0,3400867,596685,642635,431976.76,456759.63
BASE,Swap_EUR,2021-11-05,5.748207,503821,564556,0,0,3299477,565506,642635,437831.92,464910.12
